track_name,artists_name,in_spotify_charts,in_apple_charts,in_deezer_charts,in_shazam_charts
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",147,263,10,826
LALA,Myke Towers,48,126,14,382
vampire,Olivia Rodrigo,113,207,14,949
Cruel Summer,Taylor Swift,100,207,12,548
WHERE SHE GOES,Bad Bunny,50,133,15,425
Sprinter,"Dave, Central Cee",91,213,17,946
Ella Baila Sola,"Eslabon Armado, Peso Pluma",50,222,13,418
Columbia,Quevedo,43,89,13,194
fukumean,Gunna,83,210,11,953
La Bebe - Remix,"Peso Pluma, Yng Lvcas",44,110,13,339
un x100to,"Bad Bunny, Grupo Frontera",40,205,12,251
Super Shy,NewJeans,55,202,5,168
Flowers,Miley Cyrus,115,215,58,"1,021"
Daylight,David Kushner,98,156,24,"1,281"
As It Was,Harry Styles,130,198,46,
Kill Bill,SZA,77,162,12,187
Cupid - Twin Ver.,Fifty Fifty,77,212,6,0
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,104,227,24,"1,173"
Classy 101,"Feid, Young Miko",40,100,14,187
Like Crazy,Jimin,68,104,2,29
LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",26,163,4,0
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,Taylor Swift,38,119,1,150
I Wanna Be Yours,Arctic Monkeys,110,98,2,73
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",40,152,11,139
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",87,182,14,"1,093"
SABOR FRESA,Fuerza Regida,26,149,5,168
Calm Down (with Selena Gomez),"Rï¿½ï¿½ma, Selena G",77,119,38,96
MOJABI GHOST,"Tainy, Bad Bunny",40,109,14,211
Last Night,Morgan Wallen,19,107,1,325
Dance The Night (From Barbie The Album),Dua Lipa,101,0,38,0
Rush,Troye Sivan,78,135,1,294
TULUM,"Peso Pluma, Grupo Frontera",34,185,8,197
Creepin',"The Weeknd, 21 Savage, Metro Boomin",88,149,23,27
Anti-Hero,Taylor Swift,56,142,9,310
TQG,"Karol G, Shakira",49,123,18,354
Los del Espacio,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",31,33,7,184
Frï¿½ï¿½gil (feat. Grupo Front,"Yahritza Y Su Esencia, Grupo Frontera",34,108,9,212
Blank Space,Taylor Swift,53,123,2,81
Style,Taylor Swift,42,111,4,82
TQM,Fuerza Regida,28,159,6,100
El Azul,"Junior H, Peso Pluma",25,107,3,62
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",78,117,4,69
I'm Good (Blue),"Bebe Rexha, David Guetta",80,184,45,727
See You Again,"Tyler, The Creator, Kali Uchis",64,58,1,311
Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Aqua, Ice Spice",80,145,16,"1,133"
Angels Like You,Miley Cyrus,19,48,1,102
I Ain't Worried,OneRepublic,76,127,37,332
Die For You,The Weeknd,59,21,0,259
Starboy,"The Weeknd, Daft Punk",79,137,1,140
Die For You - Remix,"Ariana Grande, The Weeknd",47,86,1,16
El Cielo,"Feid, Myke Towers, Sky Rompiendo",38,64,10,110
Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",66,111,11,810
AMARGURA,Karol G,39,71,10,176
(It Goes Like) Nanana - Edit,Peggy Gou,59,0,17,0
Another Love,Tom Odell,83,122,19,
Blinding Lights,The Weeknd,69,199,20,
Moonlight,Kali Uchis,42,79,1,615
La Bachata,Manuel Turizo,45,111,15,210
S91,Karol G,41,115,6,216
cardigan,Taylor Swift,29,112,4,215
Tï¿½ï¿,"dennis, MC Kevin o Chris",15,17,4,167
Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",41,84,14,37
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",39,0,0,0
BESO,"Rauw Alejandro, ROSALï¿½",50,121,12,171
Hey Mor,"Ozuna, Feid",38,79,11,16
Yellow,Chris Molitor,43,2,5,0
Karma,Taylor Swift,23,55,0,272
People,Libianca,56,64,8,529
Overdrive,Post Malone,36,32,1,26
Enchanted (Taylor's Version),Taylor Swift,24,93,2,5
BABY HELLO,"Rauw Alejandro, Bizarrap",35,80,3,169
Heat Waves,Glass Animals,63,144,28,
golden hour,JVKE,36,58,18,230
Sweater Weather,The Neighbourhood,61,87,1,
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",45,65,14,176
Viva La Vida,Coldplay,62,0,9,0
Here With Me,d4vd,23,85,1,84
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",42,108,26,154
Yandel 150,"Yandel, Feid",38,74,14,194
CORAZï¿½ï¿½N VA,Maria Becerra,20,16,4,93
Riptide,Vance Joy,55,65,1,0
Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",30,96,0,115
Novidade na ï¿½ï¿,"Mc Livinho, DJ Matt D",9,6,2,72
Back To December (Taylor's Version),Taylor Swift,17,72,0,8
STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",36,99,31,0
El Merengue,"Marshmello, Manuel Turizo",44,75,11,323
Someone You Loved,Lewis Capaldi,53,125,0,
Me Porto Bonito,"Chencho Corleone, Bad Bunny",43,120,26,49
Makeba,Jain,53,148,22,"1,451"
MONTAGEM - FR PUNK,"Ayparia, unxbected",50,52,0,"1,170"
Fast Car,Luke Combs,12,97,0,429
What It Is (Solo Version),Doechii,25,76,0,162
Coco Chanel,"Bad Bunny, Eladio Carrion",38,89,5,82
Donï¿½ï¿½ï¿½t Bl,Taylor Swift,23,45,0,10
Still With You,Jung Kook,39,107,0,0
All My Life (feat. J. Cole),"J. Cole, Lil Durk",23,145,2,478
Say Yes To Heaven,Lana Del Rey,46,105,1,0
Snooze,SZA,25,156,1,236
Summertime Sadness,Lana Del Rey,52,143,3,200
Take Two,BTS,47,106,4,78
Lover,Taylor Swift,23,110,0,5
Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",58,119,2,266
Chemical,Post Malone,39,91,3,486
Mockingbird,Eminem,61,98,5,204
New Jeans,NewJeans,35,166,4,34
Primera Cita,Carin Leon,27,40,6,202
Cold Heart - PNAU Remix,"Dua Lipa, Elton John, Pnau",52,135,37,312
Dandelions,Ruth B.,21,100,1,32
Bones,Imagine Dragons,44,108,17,153
Set Fire to the Rain,Adele,43,112,5,519
Money Trees,"Kendrick Lamar, Jay Rock",32,113,0,458
Tak Segampang Itu,Anggi Marito,6,6,0,48
LAGUNAS,"Jasiel Nuï¿½ï¿½ez, Peso P",18,106,2,184
Mine (Taylor's Version),Taylor Swift,15,52,1,0
Everybody Wants To Rule The World,Tears For Fears,25,32,0,666
No Role Modelz,J. Cole,36,65,0,14
Tattoo,Loreen,59,102,18,925
Rara Vez,"Taiu, Milo j",38,23,3,88
VAGABUNDO,"Sebastian Yatra, Manuel Turizo, Beï¿½ï",34,58,8,203
august,Taylor Swift,22,81,1,44
LUNA,"Junior H, Peso Pluma",11,117,1,74
Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",48,115,9,638
Nonsense,Sabrina Carpenter,27,12,8,64
Que Vuelvas,"Carin Leon, Grupo Frontera",26,110,9,71
Por las Noches,Peso Pluma,24,116,3,2
Feliz Cumpleaï¿½ï¿½os Fe,Feid,38,69,4,3
Can't Hold Us (feat. Ray Dalton),"Ray Dalton, Ryan Lewis, Macklemore",52,44,2,0
Watermelon Sugar,Harry Styles,34,115,12,
lovely - Bonus Track,"Billie Eilish, Khalid",30,96,2,136
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap",32,59,5,88
Queencard,(G)I-DLE,33,126,0,148
OMG,NewJeans,27,124,1,22
Radio,Lana Del Rey,46,122,3,368
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap",44,108,29,22
505,Arctic Monkeys,25,80,1,1
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)","Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV",16,37,0,189
Trance (with Travis Scott & Young Thug),"Travis Scott, Young Thug, Metro Boomin",46,90,1,176
