track_name,artists_name,in_spotify_playlists,in_apple_playlists,in_deezer_playlists
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",553,43,45
LALA,Myke Towers,1474,48,58
vampire,Olivia Rodrigo,1397,94,91
Cruel Summer,Taylor Swift,7858,116,125
WHERE SHE GOES,Bad Bunny,3133,84,87
Sprinter,"Dave, Central Cee",2186,67,88
Ella Baila Sola,"Eslabon Armado, Peso Pluma",3090,34,43
Columbia,Quevedo,714,25,30
fukumean,Gunna,1096,60,48
La Bebe - Remix,"Peso Pluma, Yng Lvcas",2953,49,66
un x100to,"Bad Bunny, Grupo Frontera",2876,41,54
Super Shy,NewJeans,422,37,21
Flowers,Miley Cyrus,12211,300,745
Daylight,David Kushner,3528,80,182
As It Was,Harry Styles,23575,403,863
Kill Bill,SZA,8109,183,161
Cupid - Twin Ver.,Fifty Fifty,2942,91,78
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,873,80,95
Classy 101,"Feid, Young Miko",2610,43,54
Like Crazy,Jimin,596,8,23
LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",332,11,10
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,Taylor Swift,516,73,42
I Wanna Be Yours,Arctic Monkeys,12859,24,582
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",1313,17,32
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",1945,74,87
SABOR FRESA,Fuerza Regida,250,16,10
Calm Down (with Selena Gomez),"Rï¿½ï¿½ma, Selena G",7112,202,318
MOJABI GHOST,"Tainy, Bad Bunny",859,35,41
Last Night,Morgan Wallen,2420,52,15
Dance The Night (From Barbie The Album),Dua Lipa,2988,0,143
Rush,Troye Sivan,864,71,50
TULUM,"Peso Pluma, Grupo Frontera",266,20,13
Creepin',"The Weeknd, 21 Savage, Metro Boomin",6036,113,245
Anti-Hero,Taylor Swift,9082,242,165
TQG,"Karol G, Shakira",4284,115,184
Los del Espacio,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",1150,22,34
