track_name,artists_name,artist_count,released_year,released_month,released_day
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2,2023,7,14
LALA,Myke Towers,1,2023,3,23
vampire,Olivia Rodrigo,1,2023,6,30
Cruel Summer,Taylor Swift,1,2019,8,23
WHERE SHE GOES,Bad Bunny,1,2023,5,18
Sprinter,"Dave, Central Cee",2,2023,6,1
Ella Baila Sola,"Eslabon Armado, Peso Pluma",2,2023,3,16
Columbia,Quevedo,1,2023,7,7
fukumean,Gunna,1,2023,5,15
La Bebe - Remix,"Peso Pluma, Yng Lvcas",2,2023,3,17
un x100to,"Bad Bunny, Grupo Frontera",2,2023,4,17
Super Shy,NewJeans,1,2023,7,7
Flowers,Miley Cyrus,1,2023,1,12
Daylight,David Kushner,1,2023,4,14
As It Was,Harry Styles,1,2022,3,31
Kill Bill,SZA,1,2022,12,8
Cupid - Twin Ver.,Fifty Fifty,1,2023,2,24
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,1,2023,7,13
Classy 101,"Feid, Young Miko",2,2023,3,31
Like Crazy,Jimin,1,2023,3,24
LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",3,2023,6,22
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,Taylor Swift,1,2023,7,7
I Wanna Be Yours,Arctic Monkeys,1,2013,1,1
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2,2023,5,31
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",3,2023,6,2
SABOR FRESA,Fuerza Regida,1,2023,6,22
Calm Down (with Selena Gomez),"Rï¿½ï¿½ma, Selena G",2,2022,3,25
MOJABI GHOST,"Tainy, Bad Bunny",2,2023,6,29
Last Night,Morgan Wallen,1,2023,1,31
Dance The Night (From Barbie The Album),Dua Lipa,1,2023,5,25
Rush,Troye Sivan,1,2023,7,13
TULUM,"Peso Pluma, Grupo Frontera",2,2023,6,28
Creepin',"The Weeknd, 21 Savage, Metro Boomin",3,2022,12,2
Anti-Hero,Taylor Swift,1,2022,10,21
TQG,"Karol G, Shakira",2,2023,2,23
Los del Espacio,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",8,2023,6,1
Frï¿½ï¿½gil (feat. Grupo Front,"Yahritza Y Su Esencia, Grupo Frontera",2,2023,4,7
Blank Space,Taylor Swift,1,2014,1,1
Style,Taylor Swift,1,2014,1,1
TQM,Fuerza Regida,1,2023,5,19
El Azul,"Junior H, Peso Pluma",2,2023,2,10
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2,2018,10,9
I'm Good (Blue),"Bebe Rexha, David Guetta",2,2022,8,26
See You Again,"Tyler, The Creator, Kali Uchis",3,2017,7,21
